,DA Price,Net Load Forecast,System Margin,Day,Hour,Month,DA Price_24,DA Price_144,DA Price_168
2018-12-19 01:00:00,44.86,54390.0,0.8835565476190477,2,1,12,50.000000000000014,49.82000000000001,49.01000000000002
2018-12-19 02:00:00,44.71,51634.0,0.8522974344107842,2,2,12,49.04000000000001,49.05000000000001,48.280000000000015
2018-12-19 03:00:00,45.36,50176.0,0.8274573964411369,2,3,12,49.00000000000001,48.28000000000001,48.69000000000001
2018-12-19 04:00:00,47.99,52164.0,0.8443934285099362,2,4,12,50.870000000000005,51.180000000000014,52.29000000000001
2018-12-19 05:00:00,52.27,57205.0,0.8456322297566813,2,5,12,58.81000000000002,64.41,66.47000000000003
2018-12-19 06:00:00,63.75,63795.0,0.8810406110564925,2,6,12,71.23000000000002,76.99000000000001,85.05000000000003
2018-12-19 07:00:00,65.81,67394.0,0.908280396745793,2,7,12,74.63,79.47,90.12000000000003
2018-12-19 08:00:00,67.06,67599.0,0.9049049542007288,2,8,12,72.04000000000002,78.54000000000002,89.68000000000004
2018-12-19 09:00:00,67.16,67100.0,0.9015588560206211,2,9,12,69.68,75.37,86.88000000000002
2018-12-19 10:00:00,69.8,66470.0,0.8972897436840364,2,10,12,68.57,75.56,81.06000000000002
2018-12-19 11:00:00,69.19,66229.0,0.896673709035523,2,11,12,66.12,72.98,75.95
2018-12-19 12:00:00,69.89,66151.0,0.8938354899474287,2,12,12,66.43,72.98000000000002,76.41
2018-12-19 13:00:00,69.76,65439.0,0.882385654436027,2,13,12,66.80000000000001,74.4,79.41
2018-12-19 14:00:00,69.03,64217.0,0.8628192058084889,2,14,12,66.15,78.77000000000002,82.24000000000002
2018-12-19 15:00:00,69.35,64709.0,0.8610254938417959,2,15,12,65.87,81.52000000000002,82.18
2018-12-19 16:00:00,69.67,67321.0,0.8765804175242575,2,16,12,67.14000000000001,88.71000000000001,89.86
